Season,Episode,Character,Line
10,2,Ranger McFriendly,"You son of a bitch! Do you have any idea what you've done?!
"
10,2,Stan,"What?!
"
10,2,Ranger McFriendly,"Come with me! 
"
10,2,Ranger McFriendly,"There! Look! 
"
10,2,Stan,"Smog? There's never been smog over South Park before.
"
10,2,Ranger McFriendly,"Don't you get it?! When people drive hybrid cars, they get so full of themselves they spew tons of self-satisfied garbage into the air! That isn't smog, it's smug!
"
10,2,Stan,"Smug?
"
10,2,Ranger McFriendly,"Hybrid cars make better for emission levels, but people who drive hybrid cars are the leading cause of smug. You can have smug in the atmosphere, and you know what that leads to? Glodal laming! Thanks to your gay little song, South Park is now the second smuggiest city in America!
"
10,2,Announcer,"This is a South Park News Weather Bulletin!
"
10,2,Anchor Tom,"It looks like we have a smug alert here in South Park. Our own Keenan Williams has the details. Keenan?
"
10,2,Keenan,"Thanks, Tom, a smug alert is in effect at least tomorrow morning.  All those hybrid cars on the road have caused heavy smug to develop over most of Park and Jefferson Counties. On the national map, we can see smug over Denver and developing smug in Los Angeles. However, San Francisco is once again the smuggiest city in the country.
"
10,2,Singer,"A smuggy day in San Francisco town.
"
10,2,Paul,"Sheila, did you meet Gail and Brian?
"
10,2,Sheila,"No! Hello, how are you?
"
10,2,Gail,"Really good, really good. 
"
10,2,Gerald,"Hey there. Alan, right?
"
10,2,Alan,"Actually, it's Alain
"
10,2,Gerald,"Right right, w-would, would you like red or white wine?
"
10,2,Alan,"Can I just get an empty glass?
"
10,2,Gerald,"Oh. Sure. 
"
10,2,Alan,"Can you believe all these imbeciles in Texas? They just put another prisoner to death. 
"
10,2,Kyle,"So... what do you do for fun?
"
10,2,Brian,"We drink and take drugs.
"
10,2,Boy 1,"Do you want some acid?
"
10,2,Kyle,"Oh, no thanks. We don't do that stuff.
"
10,2,Boy 2,"You will. There's a reason most San Francisco kids take a lot of drugs.
"
10,2,Brian,"It's the only thing that allows us to deal with our parents all walking around loving the smell of their own farts all the time.
"
10,2,Gerald,"Everything okay in here, Kyle?
"
10,2,Kyle,"Yeah, fine, Dad.
"
10,2,Gerald,"So much better here with the intellectuals, isn't it, boys?  Wuhh  Mmmm.
"
10,2,Kyle,"Well... maybe I'll take just half a hit of acid.
"
10,2,Ike,"I want three.
"
10,2,Stan,"No, no, I'm asking if there's a listing for Broflovski in San Francisco! They just moved there!
"
10,2,Cartman,"Haha! Take that, Jew boy! I guess you Heebs can't even play video football!
"
10,2,Butters,"Yeah. You're right. 
"
10,2,Cartman,"You know Butters, you make for a lousy Jew.
"
10,2,Butters,"Well I'm sorry. Well it's just that I'm not Jewish, and now th-
"
10,2,Cartman,"No, no! Don't apologize, you asshole!
"
10,2,Ranger McFriendly,"Marsh!
"
10,2,Stan,"Oh crap, Ranger McFriendly.
"
10,2,Cartman,"Who?
"
10,2,Ranger McFriendly,"You'd better come with me to the news station! Our situation just got a lot worse!
"
10,2,Keenan,"I noticed it on the computer this morning. Look here.  This is the smug over South Park. It's... getting bigger and gaining strength.
"
10,2,Cartman,"The smug?
"
10,2,Keenan,"The smug is getting so massive that it's moving west... and fusing with the San Francisco smug... Here.  These two smug clouds are combining, fueling each other.  Now take a look at this. 
"
10,2,Stan,"What is that?
"
10,2,Keenan,"It's the smug from George Clooney's acceptance speech at the Academy Awards.
"
10,2,Stan,"George Clooney's acceptance speech?
"
10,2,Keenan,"Did you hear it? He talked about how people in Hollywood are ahead of the curve on social mattes. He even took credit for the Civil Rights movement -Look!! The point is... the smug from his acceptance speech has been slowly drifting north since he gave it... and is headed straight for the super cell. The South Park and San Francisco smug is already at critical mass. If it gets hit by George Clooney's acceptance speech, it will be a disaster of epic proportions. The perfect storm... of self-satisfaction.
"
10,2,Ranger McFriendly,"We've got to tell the townspeople! South Park still has a chance to make it through the storm!
"
10,2,Stan,"What about San Francisco?
"
10,2,Keenan,"Kid, thanks to your gay little song, there's not gonna be a San Francisco.
"
10,2,Ranger McFriendly,"Soo, that's it people.  When the smug from George Clooney's speech hits the San Francisco and South Park smug, we're gonna witness a storm the likes of which we've never seen.
"
10,2,Randy,"Are you trying to tell us the smug from our hybrids is actually gonna kill us all?
"
10,2,Ranger McFriendly,"If the smug clouds remain the way they are, yes. 
"
10,2,Jimbo,"This is all Stan's fault! He wrote that gay little song and got us to drive those damned hybrids!
"
10,2,Randy,"Yeah. Good going, stupid!
"
10,2,Ranger McFriendly,"Listen! Though we all agree this is Stan's fault, there is still something we can do. If we all work together to reduce smugness, we might be able to lessen the effects of the storm, at least here in our own town.
"
10,2,Stephen,"Then that's it. There's only one way to reduce smugness. We've gotta destroy every hybrid car in town! 
"
10,2,Jimbo,"Everyone get your hybrid and meet at Dawson's! 
"
10,2,Randy,"Hey, where do you think YOU're going?!
"
10,2,Stan,"I'm gonna try and warn Kyle to get out of San Francisco.
"
10,2,Randy,"Oh no you're not! Your gay little song got us to drive hybrids; you're gonna help us get rid of 'em!
"
10,2,Ranger McFriendly,"How long do we have until the smug clouds collide?
"
10,2,Keenan,"Not long. The smug from George Clooney's Academy Awards Acceptance Speech has already crossed into Arizona.
"
10,2,Attendant,"The hell is that? 
"
10,2,Butters,"Wow, Eric. You sure are a great guy for doing this.
"
10,2,Cartman,"I don't have a choice. Somebody has to get into San Francisco and warn Kyle's family to get out before the storm hits.
"
10,2,Butters,"But... how come we can't just take the bus on into the city?
"
10,2,Cartman,"You don't know San Francisco, Butters.  It was the breeding ground for the hippie movement in the 60s. Those hard-core liberals, lesbian activists, and die hard modern hippies young and old.  I swore I would never set foot in San Francisco. God help me.  All right, Butters, I'll be tethered to you through this cord. It's my only lifeline, so make sure it stays taut. If you stop hearing my voice, for the love of Christ, start reeling me in with all your strength.
"
10,2,Butters,"I will. You're really great for going to warn Kyle, Eric.
"
10,2,Cartman,"I'm not doin' it for Kyle.  I can't believe I'm actually going to walk through San Francisco. Well, here it goes. 
"
10,2,Ranger McFriendly,"All right. All right, now get it into the masher! Hurry up!
"
10,2,Stan,"Can't somebody else operate this? I can't really reach.
"
10,2,Ranger McFriendly,"Well then you shouldn't have written that gay little song, shouldn't you have?!  Keenan, we've gotten rid of half the hybrid cars! How are the smug levels?!
"
10,2,Keenan,"They're dropping, slowly, but... but we're running out of time!
"
10,2,Man,"Yeah, it's like, San Francisco is more of a European city, like Paris or Milan.
"
10,2,Cartman,"Butters, are you there?!
"
10,2,Butters,"I'm here, Eric.
"
10,2,Cartman,"I've started to enter the smug. I'm about a quarter mile in. Can you give me an EL?
"
10,2,Butters,"You must be nearing Union Square. Did you see a fountain to your left?
"
10,2,Cartman,"Yes. It's just beyond yet another wine and cheese store.
"
10,2,Butters,"Wait, uhh, eh take your next right. You've got to start heading west.
"
10,2,Cartman,"Turning right at O two four niner. 
"
10,2,Randy,"That's it. That's that the last one.
"
10,2,Ranger McFriendly,"Keenan? Keenan, we've smashed the last hybrid!
"
10,2,Keenan,"Harry, the smug from Clooney's speech is about to hit the other smug system! Get everyone inside!  God help us.
"
10,2,Cartman,"Butters?! Butters, I think I'm here! 2419 Castillo?!
"
10,2,Butters,"That's it! Eric, hurry! Somethin's goin' on out here!
"
10,2,Cartman,"Mr. Broflovski! Mr. Broflovski, there a smug storm! We have to go!
"
10,2,Gerald,"Being smug is a good thing. 
"
10,2,Cartman,"Oh my CHRIST!  Kyle? Kyle!
"
10,2,Kyle,"The acid. Dude, I'm totally tripping balls.
"
10,2,Ike,"I'm totally tripping balls. I'm totally tripping balls.
"
10,2,Cartman,"We have to get out of here! Now!  Kyle! Kyle!! 
"
10,2,Network Anchor,"And now, the worst appears to be over. Last night's smug storm... has left thousands homeless. All across the Midwest, people are picking up the pieces. Cities like Denver and South Park are heavily damaged, but still all right. However, San Francisco, I'm afraid... has disappeared completely up its own asshole.
"
10,2,Stan,"No...
"
10,2,Randy,"I'm sorry, Stan. I'm sorry your gay little song killed your friend.
"
10,2,Clyde,"Hey! Hey, Stan! You're not gonna believe it! You've gotta come see!
"
10,2,Stan,"What?
"
10,2,Clyde,"It's a miracle!
"
10,2,Stan,"Kyle!
"
10,2,Kyle,"Hey Stan.
"
10,2,Stan,"Dude, what happened?? 
"
10,2,Gerald,"We don't know. We were all passed out and... next thing we know we just woke up on a bus heading here.
"
10,2,Mr. Mackey,"It's like you had a guardian angel, m'kay? 
"
10,2,Stan,"Dude, I'm so glad you're not dead.
"
10,2,Richard,"So I guess there's nothing left to do now but... rebuild.
"
10,2,Randy,"Yeah. First off, we're all gonna need new cars.
"
10,2,Gerald,"And let's make sure nobody gets a stupid hybrid, right? 
"
10,2,Kyle,"NO! Hybrid cars are a good thing!
"
10,2,Mr. Mackey,"But hybrid cars are the leading cause of smug, m'kay?
"
10,2,Kyle,"Hybrid cars don't cause smugness, people do.  Look, hybrid cars are important. They may even save our planet one day. What you all need to do is just learn to drive hybrids and not be smug about it.
"
10,2,Randy,"You mean... drive in hybrids... but not act like we're better than everyone else because of it.
"
10,2,Kyle,"Yeah!
"
10,2,Randy,"I'm...  I'm not ready...
"
10,2,Gerald,"I don't think I can do it either.
"
10,2,Mr. Mackey,"It's simply asking too much.
"
10,2,Randy,"Perhaps... one day... we can learn to drive hybrids without being smug about it, but for now... the technology is just too much for us.
"
10,2,Gerald,"Come on, everybody! Let's go buy wasteful gas guzzlers! 
"
10,2,Cartman,"Well, looks like you're back for good, huh Kyle?
"
10,2,Kyle,"Yeah, I guess so.
"
10,2,Cartman,"We just can't get rid of you, can we, you sneaky Jew rat!
"
10,2,Kyle,"Don't belittle my people, you fucking fatass! 
"
10,2,Cartman,"Ah, that's better. 
"
10,3,Sharon,"But the Bubble Gum Prince wasn't afraid. He knew that the Land of Chocolate was safe forever and ever.  Goodnight my little angel. 
"
10,3,Randy,"STAAAN!!
"
10,3,Stan,"What?? What??
"
10,3,Randy,"Get up! Get your shoes on! Gotta get out of here! MOOVE!  Take this!!  We've gotta bring all the water we can!!  Shelly, go get my gun!!
"
10,3,Shelly,"Whats going on dad?
"
10,3,Randy,"JUST GET THE GUN!! 
"
10,3,Randy,"Unh, come on! 
"
10,3,Man,"AWWWGH!
"
10,3,Woman,"Oh nooo! 
"
10,3,Stan,"Kyle! What the hell is going on this time?!
"
10,3,Kyle,"I have no idea!
"
10,3,Man,"Take cover in the community center again!
"
10,3,Jimbo,"All right, everyone get in and get a seal on that door!
"
10,3,Linda,"Oh my God, Stephen, we've left Butters. 
"
10,3,Stephen,"We can't go back out, Linda! It's too late for him!
"
10,3,Stan,"Dad?  Dad, what the hell is going on?! 
"
10,3,Randy,"A cartoon...! A cartoon is about to air on American television with... with the Muslim prophet Mohammad as a character! 
"
10,3,Stan,"Sso?
"
10,3,Randy,"SO?! Stanley, Mohammad is sacred to the Muslim people.  Ever since those cartoon in Denmark, the rules have changed. Nobody shows an image of Mohammad anymore.
"
10,3,Gerald,"Which cartoon is it? What cartoon'll be so insensitive as to have Mohammad as a character?
"
10,3,Randy,"Who do you think?! The cartoon that's always pushing buttons with their careless toilet humor! Family Guy!
"
10,3,Crowd,"AWWW!
"
10,3,Jimbo,"How could Family Guy do that?
"
10,3,Sheila,"Why would Family Guy so blatantly insult Muslims?
"
10,3,Randy,"Because Family Guy doesn't care who they insult! They only care about their... precious money!
"
10,3,Stan,"Oh come on, people. You really think anybody's gonna be that pissed off about a cartoon??
"
10,3,Mr. Mackey,"Wu-we've got the TV working! 
"
10,3,Tom,"Once again, a cartoon depicting the Muslim prophet Mohammad is set to air tonight on Family Guy!
"
10,3,Sharon,"Oh Randy, hold me. 
"
10,3,Tom,"The news has already sparked a shockwave of protests throughout the Muslim world.  All over the Middle East, Muslims are burning American flags and Family Guy posters. Muslim terrorist al-Zawahri made this statement:
"
10,3,Linda,"So what happens now?
"
10,3,Randy,"We stay here through the night, wait it out to see if they do anything. If we're still alive in the morning,  then we'll know we're not dead.
"
10,3,Mrs. Garrison,"It's okay! 
"
10,3,Randy,"We're alive?? We're alive! 
"
10,3,Jimbo,"Everyone. Everyone, listen. FOX Network censored the image of Mohammad at the last minute.
"
10,3,Crowd,"Oh thank God.
"
10,3,Randy,"Well, it looks like we've dodged a bullet.
"
10,3,Stan,"They censored the image of Mohammad? How?
"
10,3,Kyle,"I TIVO every episode. We can go to my house and see what they did.
"
10,3,Kyle,"Okay you guys, check it out. 
"
10,3,Cartman,"You TIVO every episode of Family Guy?
"
10,3,Kyle,"Dude, it's a good show.
"
10,3,Stan,"Yeah, lots of people like Family Guy.
"
10,3,Cartman,"Yich. 
"
10,3,Lois,"Peter, I can't believe you invited your old high-school sweetheart over for dinner.
"
10,3,Peter,"You think that's bad? Remember when I auditioned to be David Hasselhoff's car? 
"
10,3,Peter,"You think that's bad? Remember when I auditioned to be David Hasselhoff's car? 
Peter:
Hey there, Knight Rider. 
"
10,3,Peter,"You think that's bad? Remember when I auditioned to be David Hasselhoff's car? 
Peter:
Hey there, Knight Rider. 
Michael:
After those bad guys, KITT! 
"
10,3,Chris,"Yeah, but Dad, why would you invite an ex-girlfriend to dinner?
"
10,3,Stewie,"Perhaps he wants to make our mother nervous.
"
10,3,Peter,"Nervous? Like when I had to sell pancakes to the school soccer captain? 
"
10,3,Peter,"Nervous? Like when I had to sell pancakes to the school soccer captain? 
Peter:
Pancakes for you, Captain?
"
10,3,Peter,"Nervous? Like when I had to sell pancakes to the school soccer captain? 
Peter:
Pancakes for you, Captain?
Soccer Captain:
I'll be the Captain, and you'll be Tenille. 
"
10,3,Peter,"Nervous? Like when I had to sell pancakes to the school soccer captain? 
Peter:
Pancakes for you, Captain?
Soccer Captain:
I'll be the Captain, and you'll be Tenille. 
Peter:
Love will keep us together
"
10,3,Kyle,"Hehaha, heh.
"
10,3,Cartman,"Yich.
"
10,3,Lois,"But Peter, I don't wanna cook dinner for your ex-girlfriend.
"
10,3,Peter,"Well, maybe we can just have tea.
"
10,3,Brian,"You mean like the time you had tea with Mohammad, the prophet of the Muslim faith? 
"
10,3,Brian,"You mean like the time you had tea with Mohammad, the prophet of the Muslim faith? 
Peter:
Come on, Mohammad, let's get some tea. 
"
10,3,Brian,"You mean like the time you had tea with Mohammad, the prophet of the Muslim faith? 
Peter:
Come on, Mohammad, let's get some tea. 
Mr. T:
Try my ""Mr. T. ...tea."" 
"
10,3,Peter,"Oh boy, was that ever weird. Anyway, I can't believe I invited my old sweetheart to dinner. Huh.
"
10,3,Kyle,"That's it? That's all they did?
"
10,3,Cartman,"Oh man, that's not cool! Seriously, that is not cool.
"
10,3,Stan,"What? What's the big deal?
"
10,3,Cartman,"What's the big deal? You guys, they just made fun of the religion of an entire group of people.  What, you guys think that's okay?! Do you care at all about people's feelings?!
"
10,3,Kyle,"Since when you care about being sensitive to people's religion, Cartman?!
"
10,3,Stan,"Yeah, you rip on people's religion all the time!
"
10,3,Cartman,"That's different! I'm just a little boy! That's a cartoon! Millions of people watch it! How would you feel, Kyle, if there was a cartoon on television that made fun of Jews all the time?! Huh?!
"
10,3,Kyle,"Uhhh...
"
10,3,Cartman,"I'm telling you guys, it's wrong! It's WRONG!!  It's wrong! 
"
10,3,Sheila,"Kyle? Kyle, what are you watchi-?!
"
10,3,Peter,"Hey Brian, this is like the time I got a job as a carrot cake.
"
10,3,Sheila,"Gaaah! It's Family Guy! Quick, Gerald, do something! 
"
10,3,Kyle,"Dad, Dad, Jesus Christ!
"
10,3,Gerald,"It's okay... it's dead.
"
10,3,Sheila,"You boys know you're not supposed to watch that careless show!
"
10,3,Kyle,"Mom, it was nothing. Mohammad just stood there and then drank some tea.
"
10,3,Sheila,"You boys don't understand anything! It's obvious that you ALL need Muslim-sensitivity training!
"
10,3,Mrs. Garrison,"Welcome to Muslim-Sensitivity Training. It is important for us to understand why the Muslim feel the way they do, and why we can never show an image of Mohammad.
"
10,3,Kyle,"No, Muslims can't show an image of Mohammad.
"
10,3,Mrs. Garrison,"Kyle, you're not being very sensitive.
"
10,3,Cartman,"Yeah, Kyle. Maybe you think this is funny, but the rest of us don't.
"
10,3,Mrs. Garrison,"Let's all look at why Muslims are upset:  First of all, in the Muslim religion, you're not allowed to have what?  Sex. Good.  There's no sex until marriage in the Muslim world.  Now, this would be fine except that in the Muslim religion you also can't... Anybody?  Jack off.  Okay, jacking it is strictly forbidden in the Muslim religion.  And what do we know about the places Muslims live? They live in?  Good, sand.  Now put yourself in the shoes of a Muslim. It's Friday night, but you can't have sex, and you can't jack off. There's sand in your eyes and probably in the crack of your ass, and then some cartoon comes along from a country where people are getting laid, and mocks your prophet. Well you know what? I'd be pretty pissed off too!
"
10,3,Cartman,"Mrs. Garrison, that is ignorant and racist! Muslims are mad because of Family Guy, not because they can't jack off! Right, Wendy?
"
10,3,Wendy,"...yeah.
"
10,3,Mr. Mackey,"Attention students: Proceed to the school gymnasium immediately for an emergency announcement!
"
10,3,Stan,"The hell's going on now?!
"
10,3,Principal Victoria,"Shh! Quiet, students, quiet!
"
10,3,SNN Anchor,"Once again: we have just learned that the Family Guy episode featuring Mohammad was only Part 1 of a two-parter! And Part 2 is going to air next week, with Mohammad uncensored!
"
10,3,Cartman,"What?
"
10,3,Mrs. Garrison,"Why would they-?
"
10,3,SNN Anchor,"FOX Studios claims that the Family Guy writing staff has demanded the Mohammad character be seen in full view.  The head of FOX had this to say:
"
10,3,FOX President,"Family Guy is our biggest show. If they insist we don't censor their work, then we we can't.
"
10,3,Randy,"FAMILY GUY!!!  I DAMN YOU TO HELL!!!
"
10,3,SNN Anchor,"Once again, bitter riots have started in the Middle East; this time, even more massive. And terrorist leader al-Zawahri has issued a threat
"
10,3,Mr. Mackey,"Retaliation... Oh my God. M'kay?
"
10,3,Cartman,"Goddamned Family Guy! Now they're just provoking people! It's like they want a holy war!
"
10,3,Stan,"Does this mean we don't have school all week?
"
10,3,Cartman,"You guys, this is serious! We have to do something!
"
10,3,Kenny,"(Like what?)
"
10,3,Cartman,"We have to go to the FOX network in L.A. We have to go and... try to get that episode pulled. You guys with me?
"
10,3,Stan,"Dude, we can't go anywhere. They've shut down the airports and the buses.
"
10,3,Cartman,"Then we'll ride our Big Wheels.
"
10,3,Stan,"To Los Angeles?
"
10,3,Cartman,"If that's what it takes, yes! We have to talk to the network! The Family Guy writers aren't gonna back down!
"
10,3,Kyle,"Well good for them. They shouldn't! The writers are standing up and saying they aren't going to be intimidated!
"
10,3,Cartman,"Intimidated?! Is that what you think this is about, Kyle?
"
10,3,Kyle,"All right dude, what the hell has gotten into you?! I don't trust for one second that your sudden concern for the Muslim people is real!
"
10,3,Cartman,"All right, fine, Kyle. Forget the Muslim faith for a minute. People can get hurt. If ten people die because Family Guy just had to have their little joke, will you still think it's funny?  What if a hundred people died? Will it be funny then, Kyle?  I'm going to Los Angeles. I'm gonna do whatever I can to get that episode pulled before this gets out of hand. Somebody has to speak for the Muslim people. Somebody has to speak for what's right. 
"
10,3,Gerald,"Kyle! Kyle, wake up!  We have to go! The terrorists are attacking!
"
10,3,Kyle,"Dad? Are you sure there's time?
"
10,3,Gerald,"This isn't a joke, Kyle! Bombs have already gone off in six cities!
"
10,3,Kyle,"No!
"
10,3,Sheila,"Wait a minute!  Where's Ike?!
"
10,3,Gerald,"He was just here! Ike!
"
10,3,Sheila,"Ike! 
"
10,3,Kyle,"Ike? Iiike!  Ike! 
"
10,3,Ike,"Ice cream. I want chocolate.
"
10,3,Kyle,"Ike!  This way!  Iiike! 
"
10,3,Ike,"Kyyyle!
"
10,3,Kyle,"Nooooo! 
"
10,3,Cartman,"Come to try and stop me?!  It isn't gonna work. 
"
10,3,Kyle,"I didn't come to stop you. I... I think you're right, Cartman. I want to help you get the Family Guy episode pulled.
"
10,3,Cartman,"Yeah well, I don't need a partner on this.  Especially one who doesn't trust me. 
"
10,3,Kyle,"Look, Cartman, I don't know what's gotten into you, but... I I think it's pretty amazing. And I think it's real. You have to understand why I didn't believe you before.
"
10,3,Cartman,"Yeah. I do understand, Kyle. I've been doing the wrong things for a long time. Doing things for my own selfish reasons. I just wanna do something right, you know? Just this one time.
"
10,3,Kyle,"It's a long trip, dude. You're gonna need help. We can try and get the episode pulled together.
"
10,3,Cartman,"You know we might not even make it into the studio.
"
10,3,Kyle,"I know. But just like you, I feel like I have to try. People can really get hurt, and a joke just isn't worth that.
"
10,3,Cartman,"So what made you change your mind?
"
10,3,Kyle,"I got some sound advice... from an old friend. 
"
10,3,Cartman,"Well Kyle, we'd better get going.
"
10,3,Kyle,"Yeah! 
"
10,3,Cartman,"Are you set?
"
10,3,Kyle,"I'm set! Let's do this!
"
10,3,Cartman,"All right, let's roll! 
"
10,3,Mayor McDaniels,"People! People, quiet, please!  We must not panic!
"
10,3,Randy,"Well what are we gonna do, Mayor?! Part 2 of the Family Guy episode airs in six days!
"
10,3,Mayor McDaniels,"I believe that Professor Thomas from the University has come up with a solution.
"
10,3,Prof. Thomas,"Thank you, Mayor.  Now look, everyone, Muslim terrorists and extremists are threatening us for what Family Guy is going to do... because they've wrongly grouped us together. Our only hope is to make the Muslim extremists know... that we had no part in the Mohammad episode. That even though the episode aired, we didn't watch it, we didn't hear it, and we didn't talk about it.
"
10,3,Jimbo,"So how do we do that?
"
10,3,Prof. Thomas,"We bury our heads. In sand.  We take twenty to twenty-five dump trucks, fill them with sand from Monarch Lake, and then dump the sand along South Park Avenue. By using approximately eighteen dozen shovels, we can each dig a hole in the sand, stick our heads in the holes, and then have the person to our left bury them. If we can manage to get every person's head buried deep, deep in sand before the Mohammad episode airs, we could avoid looking like we're responsible for any part of this at all.
"
10,3,Stephen,"No, no, wait a minute,  that's ridiculous.  What we need to do is just the opposite. Freedom of speech is at stake here, don't you all see?  If anything, we should ALL make cartoons of Mohammad, and show the terrorists and the extremists that we are all united in the belief that every person has a right to say what they want! Look, people, it's... been real easy for us to stand up for free speech lately. For the past few decades we haven't had to risk anything to defend it. But those times are going to come! And one of those times is right now. And if WE... aren't willing to RISK... what we have, then we just believe in free speech, but we don't defend it. 
"
10,3,Randy,"I like the sand idea.
"
10,3,Mr. Mackey,"Yeah, me too.
"
10,3,Gerald,"Yeah. The sand thing sounds a lot simpler. 
"
10,3,Mayor McDaniels,"We're gonna need eight dozen shovels and sixteen tons of sand! Let's move, people!
"
10,3,Kyle,"We got six days to make it to Los Angeles. If we keep our stops to a minimum, we should be able to get the episode pulled just in time.
"
10,3,Cartman,"Yes, and in just a few weeks from now, Family Guy will be off the air forever.
"
10,3,Kyle,"Off the air? But... we're just going to try to get the Mohammad episode pulled.
"
10,3,Cartman,"It's simple television economics, Kyle. All it takes to kill a show forever is get one episode pulled. If we convince the network to pull this episode for the sake of Muslims, then the Catholics can demand a show they don't like get pulled. And then people with disabilities can demand another show get pulled. And so on and so on, until Family Guy is no more! It's exactly what happened to Laverne & Shirley.
"
10,3,Kyle,"Whoa whoa wait a minute!  This isn't what I signed up for! I like Family Guy. Why do we have to get it off the air forever?
"
10,3,Cartman,"Because they made f-fun of Muslims, and and that's wrong.
"
10,3,Kyle,"But that doesn't mean it has to go off the air. You should like that show. Your sense of humor is just like Family Guy.
"
10,3,Cartman,"Don't you EVER, EVER, compare me to Family Guy! You hear me Kyle??!! Compare me to Family Guy again, and so help me I will kill you where you stand! 
"
10,3,Kyle,"You unbelievable son of a bitch. You never cared about the Muslim religion. Or the safety of people in America. You just want Family Guy off the air!
"
10,3,Cartman,"Do you have any idea what it's like?! Everywhere I go, ""Hey Cartman, you must like Family Guy, right?"" ""Hey, your sense of humor reminds me of Family Guy, Cartman.""  I am NOTHING like Family Guy! When I make jokes, they are inherent to a story! Deep, situational and emotional jokes based on what is relevant and has a POINT! Not just one interchangeable joke after another!!
"
10,3,Kyle,"What are you talking about?!
"
10,3,Cartman,"YOU DON'T UNDERSTAND!
"
10,3,Kyle,"I can't believe I let you scare me into taking your side. You used fear to make me stop believing in free speech.
"
10,3,Cartman,"Well... I guess you won't be helping me now. No biggie. I don't NEED you to get the episode pulled! 
"
10,3,Kyle,"No!  I am NOT letting you go to that television studio and pretend... to care about safety and sensitivity to get a show you don't like off the air!
"
10,3,Cartman,"Well then Kyle, I guess we- ...Oh my God, is that Tim McGraw?
"
10,3,Kyle,"What?  CARTMAN! 
"
10,3,Cartman,"Kyle, stop it!
"
10,3,Cartman,"Holy Crap! 
"
10,3,Kyle,"Ahhh!
"
10,3,Trooper,"Stay on 'em!  Jesus, Mary! 
"
10,3,Prof. Thomas,"If you have children, be sure to bury their heads in the sand before you bury your own. 
"
10,3,Stan,"Dad, I don't wanna bury my head in the sand.
"
10,3,Randy,"It's the best say, Stanley. Did you eat your Fruit Roll-Up?
"
10,3,Stan,"Yeah.
"
10,3,Randy,"All right, make sure your snorkel is working.  All right, now get your head in the hole.
"
10,3,Stan,"Dad, this is stupid.
"
10,3,Randy,"Stanley, there's no time for your immaturity! Do it!  All right Sharon, now do me. 
"
10,3,Jimbo,"Uh Professor, we all just thought of somethin'. If everyone has their head buried by the person standing to their left, then who's gonna bury the last person's head?
"
10,3,Prof. Thomas,"Yes. I'm afraid one person is going to have to be last, and... not have his head in the sand.
"
10,3,Farmer,"I'll do it.
"
10,3,Wife,"Dylan, no!
"
10,3,Prof. Thomas,"You realize by not burying your head in sand, you'll appear to be a part of the Family Guy audience.
"
10,3,Dylan,"Yes, I know.
"
10,3,Wife,"Dylan, please, you can't!
"
10,3,Dylan,"Somebody has to do it, Sarah.  You run along now and you get your head in the sand. I'll be all right.  You have to understand... I'm all she has. 
"
10,3,Mrs. Garrison,"Who are those people?
"
10,3,Kyle,"No!  AAAAH!  AAAAH! 
"
10,3,Cartman,"Hahahaha! So long, Kyle!
"
10,3,Kyle,"You son of a bitch! I won't let you win! You hear me?!
"
10,3,Cartman,"Suck mah balls, Kyle! 
"
10,3,President Bush,"Are you the network president?
"
10,3,FOX President,"Yes, Mr. President.
"
10,3,President Bush,"We need to discuss this Family Guy episode, Mr. President.
"
10,3,FOX President,"Mr. President, my hands are tied. The Family Guy writers insist I don't censor Mohammad.
"
10,3,President Bush,"But Mr. President, this is a matter of national security. They must be reasoned with.
"
10,3,FOX President,"Mr. President, there's something about the Family Guy writing staff I think you should know. 
"
10,3,Announcer,"Next week on South Park: The race continues. Cartman reaches the Family Guy Studio and learns the shocking secret behind the Family Guy writing staff.
"
10,3,Cartman,"This... explains everything.
"
10,3,Announcer,"As an entire nation buries its head in sand... 
"
10,3,SNN Anchor,"The idea has swept the nation! But where will we find enough sand for everyone?
"
10,3,Announcer,"...and the battle between Good and Evil is finally waged...
"
10,3,Cartman,"Kyle, quit it! Stop it, Kyle!
"
10,3,Announcer,"Will the cartoon be allowed to appear uncensored? Will Family Guy be destroyed??? Will television executives fight for free speech? Or will Comedy Central puss out? Tune in to see Part 2 of Family Guy, next week, on South Park!
"
10,4,Announcer,"Previously on South Park...
"
10,4,SNN Anchor,"The popular cartoon, Family Guy, is going to show the image of Mohammad uncensored!
"
10,4,Prof. Thomas,"If we all bury our heads in sand,  we can avoid being any part of this.
"
10,4,Cartman,"I'm gonna do whatever I can... to get that episode pulled before this gets out of hand.
"
10,4,Kyle,"You just want Family Guy off the air...
"
10,4,Cartman,"Kyle, stop it!
"
10,4,Cartman,"So long, Kyle!
"
10,4,Kyle,"You son of a bitch! I won't let you win!
"
10,4,FOX President,"Mr. President, there's something about the Family Guy writing staff I think you should know. 
"
10,4,Announcer,"And now, the thrilling conclusion of... Cartoon Wars... will not be seen tonight!  so that we can bring you this Terrance & Phillip Television Special 
"
10,4,Phillip,"Say Terrance, isn't it wonderful having a holiday here at the Lazy ""J"" Ranch?
"
10,4,Terrance,"It sure is, Phillip. But I do believe this steer I'm riding has the farts. 
"
10,4,Phillip,"Oh, look who's coming! Isn't that Mohammad, the holy prophet of the Muslim religion? 
"
10,4,Mohammad,"Hey guys, how's it going?
"
